名称,功效
阿魏,消积，化癥，散痞，杀虫。用于肉食积滞，瘀血癥瘕，腹中痞块，虫积腹痛。
阿胶,补血滋阴，润燥，止血。用于血虚萎黄，眩晕心悸，肌痿无力，心烦不眠，虚风内动，肺燥咳嗽，劳嗽咯血，吐血尿血，便血崩漏，妊娠胎漏。
艾叶,温经止血，散寒止痛；外用祛湿止痒。用于吐血，衄血，崩漏，月经过多，胎漏下血，少腹冷痛，经寒不调，宫冷不孕；外治皮肤瘙痒。醋艾炭温经止血，用于虚寒性出血。
人工牛黄,清热解毒，化痰定惊。用于痰热谵狂，神昏不语，小儿急惊风，咽喉肿痛，口舌生疮，痛肿疗疮。
安息香,开窍醒神，行气活血，止痛。用于中风痰厥，气郁暴厥，中恶昏迷，心腹疼痛，产后血晕，小儿惊风。
八角茴香,温阳散寒，理气止痛。用于寒疝腹痛，肾虚腰痛，胃寒呕吐，脘腹冷痛。
满山红,止咳祛痰。用于咳嗽气喘痰多。
预知子,疏肝理气，活血止痛，散结，利尿。用于脘胁胀痛，痛经经闭，痰核痞块，小便不利。
巴豆,外用蚀疮。用于恶疮疥癣，疣痣。
人参,大补元气，复脉固脱，补脾益肺，生津养血，安神益智。用于体虚欲脱，肢冷脉微，脾虚食少，肺虚喘咳，津伤口渴，内热消渴，气血亏虚，久病虚羸，惊悸失眠，阳痿宫冷。
巴戟天,补肾阳，强筋骨，祛风湿。用于阳痿遗精，宫冷不孕，月经不调，少腹冷痛，风湿痹痛，筋骨痿软。
白扁豆,健脾化湿，和中消暑。用于脾胃虚弱，食欲不振，大便溏泻，白带过多，暑湿吐泻，胸闷腹胀。炒白扁豆健脾化湿。用于脾虚泄泻，白带过多。
连钱草,利湿通淋，清热解毒，散瘀消肿。用于热淋，石淋，湿热黄疸，疮痈肿痛，跌打损伤。
豆蔻,化湿行气，温中止呕，开胃消食。用于湿浊中阻，不思饮食，湿温初起，胸闷不饥，寒湿呕逆，胸腹胀痛，食积不消。
附子,回阳救逆，补火助阳，散寒止痛。用于亡阳虚脱，肢冷脉微，心阳不足，胸痹心痛，虚寒吐泻，脘腹冷痛，肾阳虚衰，阳痿宫冷，阴寒水肿，阳虚外感，寒湿痹痛。
白果,敛肺定喘，止带缩尿。用于痰多喘咳，带下白浊，遗尿尿频。
蓍草,解毒利湿，活血止痛。用于乳蛾咽痛，泄泻痢疾，肠痈腹痛，热淋涩痛，湿热带下，蛇虫咬伤。
胡椒,温中散寒，下气，消痰。用于胃寒呕吐，腹痛泄泻，食欲不振，癫痫痰多。
金钱白花蛇,祛风，通络，止痉。用于风湿顽痹，麻木拘挛，中风口眼哨斜，半身不遂，抽搐痉挛，破伤风，麻风，疥癣。
白及,收敛止血，消肿生肌。用于咯血，吐血，外伤出血，疮疡肿毒，皮肤皲裂。
蒺藜,平肝解郁，活血祛风，明目，止痒。用于头痛眩晕，胸胁胀痛，乳闭乳痈，目赤翳障，风疹瘙痒。
莲子,补脾止泻，止带，益肾涩精，养心安神。用于脾虚泄泻，带下，遗精，心悸失眠。
白蔹,清热解毒，消痈散结，敛疮生肌。用于痈疽发背，疔疮，瘰疬，烧烫伤。
白茅根,凉血止血，清热利尿。用于血热吐血，衄血，尿血，热病烦渴，湿热黄疸，水肿尿少，热淋涩痛。
白前,降气，消痰，止咳。用于肺气壅实，咳嗽痰多，胸满喘急。
