名称,处方,步骤,功效,用法用量,来源,药材
阿魏麝香散,阿魏15克（酒煮）麝香3克 雄黄9克 野水红花子120克 神曲（炒）人参 白术（生）各30克 肉桂15克,上为散。,肠覃，诸积，痞块。,每服9克，用荸荠3个去皮，捣烂和药，早晚各一服，用砂仁汤过口。,《张氏医通》卷十三,阿魏/麝香/雄黄/野水红花子/神曲/人参/白术/肉桂
阿魏香槟丸,阿魏24克 广木香6克 槟榔12克,研细末，糊为丸，梧桐子大。,行气消积。气滞腹痛久不愈者。,每服3丸，日二次。因阿魏气臭难吃，可改用胶囊装，每服0.9克。,《蒲辅周医疗经验》,阿魏/广木香/槟榔
阿魏雷丸散,阿魏3分，紫雷丸3分，雄黄3分，紫石英3分，朱砂半两，滑石半两，石胆半两，丹砂半两，雚芦半两，白蔹半两，犀角半两，斑蝥（去足翅）40枚，芫青（去足翅）40枚，牛黄5分，紫铆1分。,上为散。,癞风。,每服1钱匕，空腹以清酒2合和药饮尽。大饥即食小豆羹饮为良，莫多食，但食半腹许即止。若食多饱，则虫出即迟。日西南空腹更1服，多少如前。若觉小便似淋时，不问早晚，即更服药，多少亦如前，大饥即食。,《千金翼》卷二十一引《耆婆方》,阿魏/紫雷丸/雄黄/紫石英/朱砂/滑石/石胆/丹砂/雚芦/白蔹/犀角/斑蝥/芫青/牛黄/紫铆
阿魏雄黄丸,阿魏（研）半两，雄黄（研）半两，柳枝（取向东者1-7茎，每茎长1尺，锉，焙，捣为细末）、桃枝（取向东者1-7茎，每茎长1尺，锉，焙，捣为细末）、丹砂（研）1分。,上再研为细末，用三家粽子角为丸，如梧桐子大，别研丹砂为衣。,鬼疟经久不愈。,发时用净盏摩1丸，涂鼻尖并人中上，或未退，以冷水服1丸。须五月五日午时合。,《圣济总录》卷三十五,阿魏/雄黄/柳枝/桃枝/丹砂
阿魏通经丸,铁粉10钱，阿魏3钱，芦荟3钱，没药3钱。,上为末，取二厘为一丸。,子宫冲逆，因经闭者。,每服15丸，1日数次。,《经验良方》,铁粉/阿魏/芦荟/没药
阿魏软坚散,阿魏3钱，蜗牛（炙）3钱，象贝母3钱，月石1钱5分，桃仁1钱，僵蚕10条，南星3钱，腰黄3钱5分，冰片3分。,上为末。,瘰疬痰块等。,大膏药中摊贴。,《青囊秘传》,阿魏/蜗牛/象贝母/月石/桃仁/僵蚕/南星/腰黄/冰片
阿魏良姜丸,青皮3两，陈皮2两，良姜2两，红豆2两，桂（去粗皮）1两，缩砂（去皮）2两，蓬荗（炮）2两，草果子（去皮）2两，干姜（炮）、莱菔子2两（炒），木香2两，硇砂半钱，阿魏1分（并硇砂用醋化，去砂石，研）。,上为末和匀，面糊为丸，如绿豆大。,久服大补益脾胃，空膈，令人能食，去寒湿，强中温暖。主三脘气弱，中焦积寒，脾不磨，饮食迟化，吃物频伤，胸膈满闷，胁肋刺痛，呕吐哕逆，噫醋恶心，腹胀肠鸣，心腹疼痛，噎塞膈气，翻胃吐食，饮食减少，及素来有沉寒积冷，腹中时作疼痛。,每服50粒，淡姜汤送下，不拘时候，1日2次。若素来无沉寒积冷，去硇砂。,《洪氏集验方》引上官驻泊方,青皮/陈皮/良姜/红豆/桂/缩砂/蓬荗/草果子/干姜/莱菔子/木香/硇砂/阿魏
阿魏膏药,防己1两5钱，荆芥1两，白芷1两，赤芍1两，当归1两，黄连1两，黄柏1两，风子肉1两，人参1两，连翘1两，蓬术1两，黑丑1两，寸香1钱，香油2斤，黄丹8两。,桃、槐、柳、榆、桑枝各7条，长一寸，为膏听用。另以风子肉二两，川山甲八钱，乳香、没药、寸香各下，倾入瓶中收贮。,柘子疯，疮口烂，一应疮疖俱可用。,,《秘传大麻风方》,防己/荆芥/白芷/赤芍/当归/黄连/黄柏/风子肉/人参/连翘/蓬术/黑丑/寸香/香油/黄丹
阿魏膏,羌活 独活 玄参 官桂 赤芍药 川山甲 生地黄 两头尖 大黄 白芷 天麻各15克 槐、柳、桃枝各9克 红花12克 木鳖子20枚（去壳）乱发（如鸡子大）1块,上用香油1.12千克，煎黑去滓；入发煎，发化仍去滓；徐下黄丹煎，软硬得中，入芒消、阿魏、苏合油，乳香、没药各15克，麝香9克，调匀成膏。,痞块。,摊贴患处，内服胡连丸。凡贴膏药，先用朴消随患处铺半指厚，以纸盖，用热熨斗熨良久。如消耗，再加熨之，二时许，方贴膏药。若是肝积，加芦荟末同熨。,《内科摘要》卷下,羌活/独活/玄参/官桂/赤芍药/川山甲/生地黄/两头尖/大黄/白芷/天麻/槐/柳/桃枝/红花/木鳖子
阿魏积块丸,三棱、莪术、雄黄、蜈蚣、自然铜、蛇含石、木香、铁华粉、辰砂、沉香、冰片、芦荟、阿魏、天竺黄、全蝎。,上为末，入猪胆汁，炼蜜为丸。,虫积腹痛，多嗜肥甘，唇红，脉滑。,口服。,《证治宝鉴》卷九,三棱/莪术/雄黄/蜈蚣/自然铜/蛇含石/木香/铁华粉/辰砂/沉香/冰片/芦荟/阿魏/天竺黄/全蝎
